Date,Year,Month,Weekday,Time,Hour,Transaction_Type,Amount,Location,Commute_Tag,IsPaidFare,MonthStart,WeekdayNum,DateTime
2025-12-23,2025,December,Tuesday,15:10:00,15,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Work Commute,1,2025-12-01,1,2025-12-23 15:00:00
2025-12-01,2025,December,Monday,07:15:00,7,Fare Payment,4.12,HIGH TECH RD / RED MAPLE RD,Errand,1,2025-12-01,0,2025-12-01 07:00:00
2025-12-06,2025,December,Saturday,06:15:00,6,Free Transfer,0.0,YONGE ST / 16TH AVE,Work Commute,0,2025-12-01,5,2025-12-06 06:00:00
2025-10-16,2025,October,Thursday,07:30:00,7,Fare Payment,4.12,RICHMOND HILL CENTRE,Errand,1,2025-10-01,3,2025-10-16 07:00:00
2025-11-22,2025,November,Saturday,08:40:00,8,Fare Payment,4.12,DON MILLS STATION,Errand,1,2025-11-01,5,2025-11-22 08:00:00
2025-12-22,2025,December,Monday,18:20:00,18,Fare Payment,4.12,YONGE ST / 16TH AVE,Leisure,1,2025-12-01,0,2025-12-22 18:00:00
2025-10-27,2025,October,Monday,07:40:00,7,Fare Payment,4.12,RICHMOND HILL CENTRE,Leisure,1,2025-10-01,0,2025-10-27 07:00:00
2025-10-05,2025,October,Sunday,08:45:00,8,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Work Commute,1,2025-10-01,6,2025-10-05 08:00:00
2025-11-10,2025,November,Monday,17:20:00,17,Free Transfer,0.0,RICHMOND HILL CENTRE,Work Commute,0,2025-11-01,0,2025-11-10 17:00:00
2025-12-04,2025,December,Thursday,06:05:00,6,Fare Payment,4.12,RICHMOND HILL CENTRE,Leisure,1,2025-12-01,3,2025-12-04 06:00:00
2025-10-30,2025,October,Thursday,08:45:00,8,Free Transfer,0.0,FINCH STATION,Work Commute,0,2025-10-01,3,2025-10-30 08:00:00
2025-11-30,2025,November,Sunday,17:20:00,17,Free Transfer,0.0,VALLEYMEDE DR / HWY 7,Work Commute,0,2025-11-01,6,2025-11-30 17:00:00
2025-10-22,2025,October,Wednesday,07:15:00,7,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Work Commute,1,2025-10-01,2,2025-10-22 07:00:00
2025-10-05,2025,October,Sunday,06:15:00,6,Free Transfer,0.0,RICHMOND HILL CENTRE,Work Commute,0,2025-10-01,6,2025-10-05 06:00:00
2025-10-27,2025,October,Monday,08:20:00,8,Fare Payment,4.12,RICHMOND HILL CENTRE,Work Commute,1,2025-10-01,0,2025-10-27 08:00:00
2025-11-15,2025,November,Saturday,18:20:00,18,Fare Payment,4.12,VALLEYMEDE DR / HWY 7,Work Commute,1,2025-11-01,5,2025-11-15 18:00:00
2025-12-02,2025,December,Tuesday,17:30:00,17,Free Transfer,0.0,DON MILLS STATION,Leisure,0,2025-12-01,1,2025-12-02 17:00:00
2025-11-30,2025,November,Sunday,07:50:00,7,Fare Payment,4.12,DON MILLS STATION,Errand,1,2025-11-01,6,2025-11-30 07:00:00
2025-11-23,2025,November,Sunday,08:30:00,8,Fare Payment,4.12,HIGH TECH RD / RED MAPLE RD,Work Commute,1,2025-11-01,6,2025-11-23 08:00:00
2025-11-11,2025,November,Tuesday,08:00:00,8,Fare Payment,4.12,YONGE ST / 16TH AVE,Work Commute,1,2025-11-01,1,2025-11-11 08:00:00
2025-12-03,2025,December,Wednesday,08:45:00,8,Fare Payment,4.12,YONGE ST / 16TH AVE,Errand,1,2025-12-01,2,2025-12-03 08:00:00
2025-11-13,2025,November,Thursday,18:25:00,18,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Leisure,1,2025-11-01,3,2025-11-13 18:00:00
2025-10-05,2025,October,Sunday,07:25:00,7,Free Transfer,0.0,HIGH TECH RD / RED MAPLE RD,Errand,0,2025-10-01,6,2025-10-05 07:00:00
2025-10-07,2025,October,Tuesday,15:55:00,15,Free Transfer,0.0,FINCH STATION,Work Commute,0,2025-10-01,1,2025-10-07 15:00:00
2025-11-29,2025,November,Saturday,17:20:00,17,Free Transfer,0.0,VALLEYMEDE DR / HWY 7,Work Commute,0,2025-11-01,5,2025-11-29 17:00:00
2025-12-30,2025,December,Tuesday,15:40:00,15,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Errand,1,2025-12-01,1,2025-12-30 15:00:00
2025-12-14,2025,December,Sunday,15:00:00,15,Fare Payment,4.12,HIGH TECH RD / RED MAPLE RD,Work Commute,1,2025-12-01,6,2025-12-14 15:00:00
2025-10-17,2025,October,Friday,06:10:00,6,Free Transfer,0.0,HIGH TECH RD / RED MAPLE RD,Errand,0,2025-10-01,4,2025-10-17 06:00:00
2025-12-23,2025,December,Tuesday,15:50:00,15,Fare Payment,4.12,HIGH TECH RD / RED MAPLE RD,Leisure,1,2025-12-01,1,2025-12-23 15:00:00
2025-10-06,2025,October,Monday,16:05:00,16,Fare Payment,4.12,HIGH TECH RD / RED MAPLE RD,Errand,1,2025-10-01,0,2025-10-06 16:00:00
2025-11-05,2025,November,Wednesday,18:20:00,18,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Leisure,1,2025-11-01,2,2025-11-05 18:00:00
2025-10-03,2025,October,Friday,15:15:00,15,Free Transfer,0.0,DON MILLS STATION,Work Commute,0,2025-10-01,4,2025-10-03 15:00:00
2025-10-28,2025,October,Tuesday,17:45:00,17,Fare Payment,4.12,HIGH TECH RD / RED MAPLE RD,Leisure,1,2025-10-01,1,2025-10-28 17:00:00
