2025-11-17,2025,November,Monday,18:15,18,Fare Payment,4.12,VALLEYMEDE DR / HWY 7,Leisure
2025-12-23,2025,December,Tuesday,15:10,15,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Work Commute
2025-12-01,2025,December,Monday,07:15,7,Fare Payment,4.12,HIGH TECH RD / RED MAPLE RD,Errand
2025-12-06,2025,December,Saturday,06:15,6,Free Transfer,0,YONGE ST / 16TH AVE,Work Commute
2025-10-16,2025,October,Thursday,07:30,7,Fare Payment,4.12,RICHMOND HILL CENTRE,Errand
2025-11-22,2025,November,Saturday,08:40,8,Fare Payment,4.12,DON MILLS STATION,Errand
2025-12-22,2025,December,Monday,18:20,18,Fare Payment,4.12,YONGE ST / 16TH AVE,Leisure
2025-10-27,2025,October,Monday,07:40,7,Fare Payment,4.12,RICHMOND HILL CENTRE,Leisure
2025-10-05,2025,October,Sunday,08:45,8,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Work Commute
2025-11-10,2025,November,Monday,17:20,17,Free Transfer,0,RICHMOND HILL CENTRE,Work Commute
2025-12-04,2025,December,Thursday,06:05,6,Fare Payment,4.12,RICHMOND HILL CENTRE,Leisure
2025-10-30,2025,October,Thursday,08:45,8,Free Transfer,0,FINCH STATION,Work Commute
2025-11-30,2025,November,Sunday,17:20,17,Free Transfer,0,VALLEYMEDE DR / HWY 7,Work Commute
2025-10-22,2025,October,Wednesday,07:15,7,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Work Commute
2025-10-05,2025,October,Sunday,06:15,6,Free Transfer,0,RICHMOND HILL CENTRE,Work Commute
2025-10-27,2025,October,Monday,08:20,8,Fare Payment,4.12,RICHMOND HILL CENTRE,Work Commute
2025-11-15,2025,November,Saturday,18:20,18,Fare Payment,4.12,VALLEYMEDE DR / HWY 7,Work Commute
2025-12-02,2025,December,Tuesday,17:30,17,Free Transfer,0,DON MILLS STATION,Leisure
2025-11-30,2025,November,Sunday,07:50,7,Fare Payment,4.12,DON MILLS STATION,Errand
2025-11-23,2025,November,Sunday,08:30,8,Fare Payment,4.12,HIGH TECH RD / RED MAPLE RD,Work Commute
2025-11-11,2025,November,Tuesday,08:00,8,Fare Payment,4.12,YONGE ST / 16TH AVE,Work Commute
2025-12-03,2025,December,Wednesday,08:45,8,Fare Payment,4.12,YONGE ST / 16TH AVE,Errand
2025-11-13,2025,November,Thursday,18:25,18,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Leisure
2025-10-05,2025,October,Sunday,07:25,7,Free Transfer,0,HIGH TECH RD / RED MAPLE RD,Errand
2025-10-07,2025,October,Tuesday,15:55,15,Free Transfer,0,FINCH STATION,Work Commute
2025-11-29,2025,November,Saturday,17:20,17,Free Transfer,0,VALLEYMEDE DR / HWY 7,Work Commute
2025-12-30,2025,December,Tuesday,15:40,15,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Errand
2025-12-14,2025,December,Sunday,15:00,15,Fare Payment,4.12,HIGH TECH RD / RED MAPLE RD,Work Commute
2025-10-17,2025,October,Friday,06:10,6,Free Transfer,0,HIGH TECH RD / RED MAPLE RD,Errand
2025-12-23,2025,December,Tuesday,15:50,15,Fare Payment,4.12,HIGH TECH RD / RED MAPLE RD,Leisure
2025-10-06,2025,October,Monday,16:05,16,Fare Payment,4.12,HIGH TECH RD / RED MAPLE RD,Errand
2025-11-05,2025,November,Wednesday,18:20,18,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Leisure
2025-10-03,2025,October,Friday,15:15,15,Free Transfer,0,DON MILLS STATION,Work Commute
2025-10-28,2025,October,Tuesday,17:45,17,Fare Payment,4.12,HIGH TECH RD / RED MAPLE RD,Leisure
2025-12-16,2025,December,Tuesday,15:05,15,Fare Payment,4.12,DON MILLS STATION,Work Commute
2025-10-18,2025,October,Saturday,16:50,16,Fare Payment,4.12,YONGE ST / 16TH AVE,Errand
2025-12-13,2025,December,Saturday,08:10,8,Free Transfer,0,RICHMOND HILL CENTRE,Leisure
2025-11-16,2025,November,Sunday,07:30,7,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Errand
2025-10-09,2025,October,Thursday,15:05,15,Free Transfer,0,BAYVIEW AV / MAJOR MACKENZIE,Work Commute
2025-10-27,2025,October,Monday,06:00,6,Free Transfer,0,YONGE ST / 16TH AVE,Work Commute
2025-12-22,2025,December,Monday,06:45,6,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Leisure
2025-11-27,2025,November,Thursday,07:45,7,Fare Payment,4.12,YONGE ST / 16TH AVE,Errand
2025-12-28,2025,December,Sunday,15:20,15,Fare Payment,4.12,DON MILLS STATION,Leisure
2025-12-24,2025,December,Wednesday,06:45,6,Fare Payment,4.12,FINCH STATION,Leisure
2025-10-29,2025,October,Wednesday,17:15,17,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Work Commute
2025-10-22,2025,October,Wednesday,15:55,15,Fare Payment,4.12,DON MILLS STATION,Errand
2025-10-05,2025,October,Sunday,15:15,15,Fare Payment,4.12,RICHMOND HILL CENTRE,Leisure
2025-11-14,2025,November,Friday,08:50,8,Fare Payment,4.12,HIGH TECH RD / RED MAPLE RD,Errand
2025-12-07,2025,December,Sunday,07:55,7,Free Transfer,0,LESLIE ST / HIGHWAY 7,Leisure
2025-10-22,2025,October,Wednesday,08:45,8,Free Transfer,0,DON MILLS STATION,Leisure
2025-12-07,2025,December,Sunday,07:30,7,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Leisure
2025-12-22,2025,December,Monday,17:05,17,Fare Payment,4.12,FINCH STATION,Leisure
2025-10-14,2025,October,Tuesday,18:05,18,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Leisure
2025-12-24,2025,December,Wednesday,18:05,18,Fare Payment,4.12,VALLEYMEDE DR / HWY 7,Work Commute
2025-10-14,2025,October,Tuesday,17:45,17,Fare Payment,4.12,RICHMOND HILL CENTRE,Work Commute
2025-11-19,2025,November,Wednesday,08:05,8,Free Transfer,0,YONGE ST / 16TH AVE,Errand
2025-11-16,2025,November,Sunday,08:15,8,Fare Payment,4.12,FINCH STATION,Work Commute
2025-12-13,2025,December,Saturday,06:55,6,Free Transfer,0,DON MILLS STATION,Work Commute
2025-10-13,2025,October,Monday,07:00,7,Fare Payment,4.12,VALLEYMEDE DR / HWY 7,Work Commute
2025-12-28,2025,December,Sunday,16:45,16,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Work Commute
2025-11-08,2025,November,Saturday,18:00,18,Fare Payment,4.12,VALLEYMEDE DR / HWY 7,Work Commute
